case-name,rock_type,porosity,esv,kx,ky,kz,delta_esv
4963,2.0,0.20183763,0.7980496090000001,0.7333,0.6818,0.7618,0.0001412757657316089
4964,2.0,0.227474963,0.77225876,0.754,0.6624,0.6736,0.000344683974300662
4965,2.0,0.24233037,0.758290163,0.7252,0.7104,0.6928,0.0008190020761423138
4966,2.0,0.260731852,0.739113012,0.6459999999999999,0.7266,0.6577,0.00020985078339944338
4967,2.0,0.227389037,0.7716295240000001,0.6612,0.6676,0.7086,0.0012702887313287027
4968,2.0,0.215318815,0.785513028,0.6748,0.9159999999999999,0.7386,0.0010601031551432628
4969,2.0,0.230354074,0.7696768759999999,0.6963,0.7842,0.7154,4.0213296730765816e-05
4970,2.0,0.232112889,0.768045564,0.6868,0.6708,0.698,0.0002063493418890675
4971,2.0,0.260484444,0.7390268,0.6437,0.6054,0.5805,0.0006609137509474907
4973,2.0,0.24367437,0.755725073,0.7371,0.6902,0.6067,0.0007940455488728394
4974,2.0,0.218575407,0.78167715,0.767,0.7607,0.7376,0.0003232007314108709
4975,2.0,0.199478815,0.8008352670000001,0.7347,0.8603,0.7971,0.0003923468933555441
4976,2.0,0.181678222,0.81929585,0.8855,0.8683,0.8022,0.0011903288244150731
4978,2.0,0.22432444399999998,0.776131586,0.8466,0.674,0.7271,0.0005879133311246701
4979,2.0,0.20964740699999998,0.7902143859999999,0.7638,0.6676,0.7633,0.0001748675227033921
4980,2.0,0.22412563,0.7767608220000001,0.7299,0.5894,0.6877,0.0011425200190593194
4982,2.0,0.230866667,0.769258131,0.7875,0.6478,0.6924,0.00016225795274430206
4983,2.0,0.231009778,0.770228857,0.7718,0.8415,0.7744,0.0016107291933810674
4984,2.0,0.261345481,0.738724498,0.5516,0.6696,0.7445,9.473847136910602e-05
4987,2.0,0.21312237,0.78686667,0.715,0.7485,0.6397,1.392846814059805e-05
4988,2.0,0.197579852,0.80181719,0.7665,0.7127,0.6868,0.0007514243024715113
4989,2.0,0.211842074,0.7880008629999999,0.698,0.7415,0.6539,0.00019927858975825148
4990,2.0,0.192310815,0.808479033,0.7238,0.8092,0.7798,0.0009779108284086254
4991,2.0,0.243346667,0.755778816,0.6226,0.591,0.662,0.0011557697057023003
4992,2.0,0.230773333,0.76932531,0.6839,0.7739,0.6777,0.00012823658387296248
4995,2.0,0.21375496300000002,0.78810163,0.9027,0.7712,0.9494,0.0023613414554373357
4996,2.0,0.253445926,0.746063721,0.7247,0.6445,0.6924,0.0006568218124814759
4997,2.0,0.240792593,0.7585476790000001,0.6859999999999999,0.6157,0.6543,0.0008689693934979155
4998,2.0,0.26241925899999996,0.73729696,0.6482,0.6328,0.5869,0.0003847456749145765
5000,2.0,0.21579555600000003,0.7838201370000001,0.7965,0.6716,0.6018,0.0004900597069300937
