case-name,rock_type,porosity,esv,kx,ky,kz,delta_esv
2837,1.0,0.181485333,0.818859192,0.8390000000000001,0.7976,0.7976,0.00042091487653212687
2838,1.0,0.17854163,0.8214634690000001,0.8127,0.7766,0.8022,6.2072530834635295e-06
2839,1.0,0.175918815,0.824665632,0.846,0.8235,0.8163,0.0007092104645004514
2840,1.0,0.16418163,0.836448697,0.889,0.8434,0.7976,0.0007541435108682597
2841,1.0,0.15487525900000002,0.846299267,0.9085,0.9213,0.8440000000000001,0.0013897664368578803
2842,1.0,0.163430519,0.8372906640000001,0.8596,0.8352,0.7826,0.000862071849833744
2843,1.0,0.170679704,0.8297577429999999,0.8205,0.8492,0.8051,0.0005274765396552217
2844,1.0,0.17370548100000002,0.8265678959999999,0.8434,0.7597,0.8235,0.0003308469240856281
2845,1.0,0.17862488899999998,0.8217848040000001,0.7999,0.775,0.8181,0.0004987891579783262
2846,1.0,0.18535437,0.814545229,0.7954,0.7406,0.8340000000000001,0.00012324499917832027
2847,1.0,0.174104593,0.826870198,0.8327,0.8498,0.8537,0.001180283837079112
2848,1.0,0.18307911100000002,0.8180418559999999,0.8098,0.8069,0.8253,0.001372185501795845
2849,1.0,0.166950519,0.8336854309999999,0.8315,0.7886,0.8340000000000001,0.0007634000314561635
2850,1.0,0.169397333,0.8311539309999999,0.8744,0.7145,0.8098,0.0006636915843179447
2852,1.0,0.19462637,0.805664264,0.8016,0.6624,0.7505,0.00036086853253434223
2853,1.0,0.15960740699999998,0.840658534,0.8383,0.8447,0.7576,0.0003164485291935358
2854,1.0,0.159926815,0.8398803859999999,0.7954,0.8409,0.7556,0.0002295026236316926
2855,1.0,0.158617185,0.84088694,0.7965,0.787,0.7495,0.000589357176257557
2856,1.0,0.164587556,0.835737727,0.7892,0.9129999999999999,0.7755,0.00038936815262475253
2857,1.0,0.162485037,0.83773516,0.7787,0.8813,0.7649,0.0002629170936973189
2859,1.0,0.182231111,0.8175996,0.8377,0.8187,0.746,0.00020701325555075854
2860,1.0,0.180546667,0.819711236,0.867,0.7686,0.7675,0.0003147256709003443
2861,1.0,0.18051614800000002,0.819476112,0.8266,0.7505,0.7490000000000001,9.444969514692535e-06
2862,1.0,0.17540651899999998,0.825088855,0.8724,0.8479,0.747,0.000600749352758942
2863,1.0,0.161682963,0.8394011809999999,0.9297,0.9012,0.7766,0.001293238658109258
2864,1.0,0.14669185199999998,0.854558833,0.9282,0.9351,0.8175,0.0014656897428337097
2865,1.0,0.161276148,0.839518743,0.855,0.7755,0.8051,0.0009477386366257344
2866,1.0,0.177486815,0.8231776340000001,0.8104,0.8235,0.7942,0.0008078277796848531
2867,1.0,0.17835763,0.82195163,0.8544,0.7347,0.8169,0.0003763924686601653
2869,1.0,0.186257185,0.813545392,0.792,0.7131,0.8175,0.0002426110515028386
2870,1.0,0.177476148,0.823086943,0.8157,0.7712,0.8127,0.0006845892658684384
2871,1.0,0.185753778,0.8153177779999999,0.7909,0.6501,0.8133,0.0013160097904635702
2872,1.0,0.172392593,0.828321248,0.7931,0.7842,0.8377,0.0008625357796005532
2873,1.0,0.183297778,0.8173868679999999,0.8169,0.6890000000000001,0.8175,0.0008383055433880715
2874,1.0,0.19741985199999998,0.803850451,0.7931,0.8133,0.7937,0.0015827740110012946
2876,1.0,0.17074429600000002,0.830192162,0.8109999999999999,0.8869,0.9005,0.0011292753194014622
