case-name,rock_type,porosity,esv,kx,ky,kz,delta_esv
830,3.0,0.189846815,0.8092717359999999,0.605,0.7266,0.7357,0.0010880028818254781
831,3.0,0.195113481,0.80394562,0.7033,0.7914,0.5063,0.0011689834253515924
834,3.0,0.060797332999999995,0.9393512190000001,0.8765,0.9167,0.9228,0.0001581682050313849
836,3.0,0.139057185,0.8602622659999999,0.5998,0.7853,0.7744,0.0007904694576028737
837,3.0,0.143750815,0.855300033,0.6397,0.7759999999999999,0.8315,0.0011084997412289608
838,3.0,0.127104296,0.872680166,0.7082,0.9049,0.9601,0.0002469229703071956
840,3.0,0.187534222,0.811921918,0.5018,0.6636,0.8485,0.0006693943483241107
841,3.0,0.24499674100000002,0.75363359,0.4522,0.5928,0.4711,0.0018141232950625156
846,3.0,0.110686519,0.88956094,0.7815,0.7707,0.894,0.00027825846035949773
847,3.0,0.116103704,0.883467873,0.6478,0.8537,0.8751,0.00048469826374293476
852,3.0,0.116883852,0.883341354,0.7886,0.752,0.8428,0.00025501288874629183
853,3.0,0.18885896300000002,0.810356665,0.5743,0.6911,0.7024,0.0009669982952667727
854,3.0,0.22208355600000002,0.776580561,0.4735,0.7252,0.613,0.0017172576956092501
855,3.0,0.168113185,0.830650094,0.6021,0.8229,0.7224,0.00148664575240329
856,3.0,0.11438637,0.8852133879999999,0.7994,0.9391,0.8253,0.00045193748881225567
858,3.0,0.16159377800000002,0.838307295,0.7091,0.7294,0.8139,0.00011799411479071228
859,3.0,0.20319970399999998,0.796425015,0.5222,0.6856,0.7638,0.00047098501579881516
